timestamps population node_ids
63.827 v1 0
1449.887 v1 224
1433.86 v1 224
1415.601 v1 224
1388.974 v1 224
1378.694 v1 224
1368.027 v1 224
1468.804 v1 224
1338.864 v1 224
1287.657 v1 224
1273.627 v1 224
1242.003 v1 224
1228.364 v1 224
1215.539 v1 224
1205.265 v1 224
1309.601 v1 224
1482.965 v1 224
1495.454 v1 224
1507.084 v1 224
1808.641 v1 224
1780.849 v1 224
1761.604 v1 224
1747.806 v1 224
1726.418 v1 224
1711.625 v1 224
1699.597 v1 224
1684.614 v1 224
1670.338 v1 224
1650.927 v1 224
1626.271 v1 224
1612.957 v1 224
1597.869 v1 224
1578.181 v1 224
1559.202 v1 224
1178.837 v1 224
1165.53 v1 224
1145.753 v1 224
1112.936 v1 224
718.074 v1 224
705.121 v1 224
676.771 v1 224
664.403 v1 224
645.448 v1 224
634.306 v1 224
623.817 v1 224
608.285 v1 224
596.041 v1 224
577.718 v1 224
559.005 v1 224
544.044 v1 224
532.065 v1 224
520.857 v1 224
507.361 v1 224
742.254 v1 224
1842.813 v1 224
762.244 v1 224
802.373 v1 224
1098.611 v1 224
1082.904 v1 224
1066.889 v1 224
1055.97 v1 224
1041.61 v1 224
1030.527 v1 224
1017.343 v1 224
979.7 v1 224
966.506 v1 224
955.38 v1 224
908.394 v1 224
875.851 v1 224
858.231 v1 224
835.806 v1 224
824.942 v1 224
776.286 v1 224
468.347 v1 224
1857.231 v1 224
1892.905 v1 224
2968.112 v1 224
2956.834 v1 224
2938.314 v1 224
2907.731 v1 224
2868.304 v1 224
2858.175 v1 224
2982.809 v1 224
2837.901 v1 224
2780.713 v1 224
2771.879 v1 224
2758.818 v1 224
2738.905 v1 224
2726.016 v1 224
2708.856 v1 224
2791.213 v1 224
2992.928 v1 224
61.49 v1 225
73.718 v1 225
548.619 v1 225
538.123 v1 225
527.406 v1 225
515.787 v1 225
494.558 v1 225
375.456 v1 225
352.224 v1 225
326.87 v1 225
273.866 v1 225
257.304 v1 225
238.969 v1 225
169.713 v1 225
143.153 v1 225
107.884 v1 225
91.864 v1 225
2689.012 v1 224
2656.655 v1 224
2643.258 v1 224
2623.899 v1 224
2205.775 v1 224
2190.706 v1 224
2158.19 v1 224
2144.293 v1 224
2130.152 v1 224
2117.546 v1 224
2098.698 v1 224
2083.74 v1 224
2063.733 v1 224
2045.09 v1 224
2010.865 v1 224
2000.289 v1 224
1987.451 v1 224
1975.412 v1 224
1948.356 v1 224
2219.041 v1 224
1870.241 v1 224
2228.259 v1 224
2261.414 v1 224
2604.82 v1 224
2581.988 v1 224
2570.146 v1 224
2555.155 v1 224
2533.056 v1 224
2477.743 v1 224
2462.334 v1 224
2448.331 v1 224
2436.862 v1 224
2383.799 v1 224
2356.281 v1 224
