timestamps population node_ids
56.623 v1 0
2128.648 v1 196
2141.452 v1 196
2158.816 v1 196
2180.458 v1 196
2201.906 v1 196
2221.664 v1 196
2229.973 v1 196
2237.746 v1 196
2246.6 v1 196
2266.718 v1 196
2322.781 v1 196
2354.034 v1 196
2393.033 v1 196
2440.673 v1 196
2451.215 v1 196
2460.318 v1 196
2469.206 v1 196
2478.46 v1 196
2490.029 v1 196
2531.068 v1 196
2555.555 v1 196
2570.466 v1 196
2582.463 v1 196
2607.193 v1 196
2624.063 v1 196
2643.872 v1 196
2661.792 v1 196
2117.892 v1 196
2721.179 v1 196
2103.581 v1 196
2047.112 v1 196
1502.937 v1 196
1516.949 v1 196
1581.329 v1 196
1599.349 v1 196
1611.301 v1 196
1625.049 v1 196
1645.189 v1 196
1668.283 v1 196
1690.178 v1 196
1703.552 v1 196
1719.464 v1 196
1728.819 v1 196
1742.421 v1 196
1757.148 v1 196
1767.491 v1 196
1783.414 v1 196
1806.342 v1 196
1854.954 v1 196
1868.408 v1 196
1892.599 v1 196
1917.733 v1 196
1943.423 v1 196
1958.187 v1 196
1984.0 v1 196
1994.165 v1 196
2004.088 v1 196
2013.601 v1 196
2081.081 v1 196
2735.718 v1 196
2748.851 v1 196
2769.114 v1 196
710.213 v1 197
719.466 v1 197
733.807 v1 197
754.446 v1 197
771.356 v1 197
784.463 v1 197
803.738 v1 197
828.619 v1 197
839.024 v1 197
861.276 v1 197
878.591 v1 197
907.748 v1 197
949.343 v1 197
961.457 v1 197
974.638 v1 197
992.551 v1 197
1024.073 v1 197
1048.037 v1 197
1064.488 v1 197
1084.676 v1 197
1100.923 v1 197
1120.431 v1 197
1163.848 v1 197
1183.303 v1 197
1205.307 v1 197
1214.516 v1 197
1225.197 v1 197
693.815 v1 197
672.6 v1 197
657.54 v1 197
640.71 v1 197
2777.972 v1 196
2785.014 v1 196
2794.546 v1 196
2849.258 v1 196
2865.714 v1 196
2879.888 v1 196
2904.987 v1 196
2938.78 v1 196
2959.255 v1 196
2970.246 v1 196
2980.753 v1 196
2994.758 v1 196
65.365 v1 197
1488.155 v1 196
81.034 v1 197
146.793 v1 197
233.357 v1 197
255.706 v1 197
338.563 v1 197
502.95 v1 197
519.496 v1 197
532.846 v1 197
544.758 v1 197
570.033 v1 197
590.358 v1 197
602.691 v1 197
619.31 v1 197
631.23 v1 197
112.567 v1 197
1235.481 v1 197
1471.603 v1 196
1441.912 v1 196
2152.149 v1 195
2220.032 v1 195
2230.329 v1 195
2241.131 v1 195
2265.655 v1 195
2319.97 v1 195
2343.5 v1 195
2381.928 v1 195
2426.029 v1 195
2443.275 v1 195
2456.573 v1 195
2470.226 v1 195
2486.603 v1 195
2530.205 v1 195
2565.538 v1 195
2582.782 v1 195
2608.837 v1 195
2635.223 v1 195
2653.089 v1 195
2697.144 v1 195
2726.824 v1 195
2749.603 v1 195
2776.536 v1 195
2788.214 v1 195
2855.387 v1 195
2871.558 v1 195
2912.492 v1 195
2133.402 v1 195
2955.384 v1 195
2116.774 v1 195
2057.324 v1 195
1376.318 v1 195
1387.302 v1 195
1421.699 v1 195
1441.192 v1 195
1469.697 v1 195
1493.398 v1 195
1505.587 v1 195
1570.529 v1 195
1590.467 v1 195
1605.333 v1 195
1618.871 v1 195
1643.972 v1 195
1677.948 v1 195
1701.589 v1 195
1723.054 v1 195
1733.995 v1 195
1751.724 v1 195
1762.266 v1 195
1795.921 v1 195
1849.738 v1 195
1863.644 v1 195
1895.417 v1 195
1926.008 v1 195
1956.003 v1 195
1981.794 v1 195
1996.438 v1 195
2009.153 v1 195
2091.44 v1 195
2968.458 v1 195
2986.842 v1 195
64.71 v1 196
906.822 v1 196
954.09 v1 196
966.298 v1 196
977.656 v1 196
995.801 v1 196
1025.866 v1 196
1049.154 v1 196
1067.273 v1 196
1083.21 v1 196
1095.474 v1 196
1106.546 v1 196
1123.73 v1 196
1156.851 v1 196
1174.566 v1 196
1191.149 v1 196
1208.73 v1 196
1221.009 v1 196
1231.557 v1 196
1245.984 v1 196
1270.965 v1 196
1286.584 v1 196
1334.248 v1 196
1355.966 v1 196
1376.481 v1 196
1386.418 v1 196
1414.334 v1 196
1430.822 v1 196
880.534 v1 196
869.304 v1 196
856.269 v1 196
842.305 v1 196
79.453 v1 196
150.657 v1 196
234.905 v1 196
252.602 v1 196
275.985 v1 196
351.755 v1 196
454.108 v1 196
512.703 v1 196
524.526 v1 196
534.723 v1 196
544.448 v1 196
556.253 v1 196
572.082 v1 196
1453.617 v1 196
590.497 v1 196
623.349 v1 196
631.76 v1 196
641.503 v1 196
655.664 v1 196
672.856 v1 196
688.419 v1 196
707.212 v1 196
715.249 v1 196
723.974 v1 196
746.419 v1 196
766.263 v1 196
784.924 v1 196
829.459 v1 196
606.246 v1 196
1351.904 v1 195
1248.793 v1 197
1291.343 v1 197
2469.721 v1 198
2481.965 v1 198
2573.191 v1 198
2615.72 v1 198
2652.579 v1 198
2688.752 v1 198
2717.1 v1 198
2732.233 v1 198
2754.39 v1 198
2774.151 v1 198
2783.046 v1 198
2844.758 v1 198
2866.326 v1 198
2909.405 v1 198
2942.908 v1 198
2957.766 v1 198
2970.058 v1 198
2984.22 v1 198
2996.15 v1 198
63.195 v1 199
103.577 v1 199
230.801 v1 199
270.545 v1 199
491.321 v1 199
517.794 v1 199
530.993 v1 199
547.917 v1 199
2456.951 v1 198
587.19 v1 199
2444.443 v1 198
2384.918 v1 198
1615.513 v1 198
1677.286 v1 198
1704.499 v1 198
1723.018 v1 198
1731.899 v1 198
1754.167 v1 198
1764.497 v1 198
1848.915 v1 198
